📺央视频道,#genre#
CCTV-13,http://122.9.151.210:4649/rtp/238.255.2.16:5999
CCTV-13,http://58.48.37.158:1111/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://www.zzlag.top:9087/tsfile/live/1022_1.m3u8?key=txiptv
CCTV-13,http://101.43.66.162/migunew.php?id=cctv13
CCTV-14,http://120.55.49.231:8567/rtp/233.50.201.124:5140
CCTV-14,http://120.55.49.231:8567/rtp/233.50.201.14:5140
CCTV-14,http://122.9.151.210:4649/rtp/238.255.2.17:5999
CCTV-14,http://www.zzlag.top:9087/tsfile/live/1023_1.m3u8?key=txiptv
CCTV-14,http://219.159.194.172:8181/tsfile/live/0014_1.m3u8
CCTV-14,http://123.129.70.178:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://120.55.49.231:8567/rtp/233.50.201.15:5140
CCTV-15,http://122.9.151.210:4649/rtp/238.255.2.18:5999
CCTV-15,http://123.56.129.203:2341/rtp/225.1.8.74:8136
CCTV-15,http://139.196.228.200:5678/mghd1080.php?id=cctv15
CCTV-15,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000//1.m3u8?channel-id=ystenlive&Contentid=1000000005000265014&livemode=1&stbId=3
CCTV-15,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265014/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265014&livemode=1&stbId=no
📡卫视频道,#genre#
北京卫视,http://120.55.49.231:8567/rtp/233.50.201.107:5140
北京卫视,http://120.55.49.231:8567/rtp/233.50.201.40:5140
北京卫视,http://122.9.151.210:4649/rtp/238.255.2.81:5999
北京卫视,http://116.117.105.198:8096/tsfile/live/0122_1.m3u8
北京卫视,http://39.98.201.151:9090/udp/225.1.8.21:8002
北京卫视,http://219.159.194.172:8181/tsfile/live/0122_1.m3u8
东方卫视,http://120.55.49.231:8567/rtp/233.50.201.125:5140
东方卫视,http://120.55.49.231:8567/rtp/233.50.201.68:5140
东方卫视,http://122.9.151.210:4649/rtp/238.255.2.98:5999
东方卫视,http://202.100.46.58:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://58.51.111.46:1111/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://39.98.201.151:9090/udp/225.1.8.45:8032
天津卫视,http://120.55.49.231:8567/rtp/233.50.201.104:5140
天津卫视,http://120.55.49.231:8567/rtp/233.50.201.47:5140
天津卫视,http://122.9.151.210:4649/rtp/238.255.2.99:5999
天津卫视,http://111.8.224.6:8085/tsfile/live/1069_1.m3u8
天津卫视,http://171.8.138.74:85/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,https://stream1.freetv.fun/tian-jin-wei-shi-gao-qing-2.m3u8
重庆卫视,http://120.55.49.231:8567/rtp/233.50.201.143:5140
