Name: CCTV-8, URL: http://123.56.129.203:8252/rtp/225.1.8.91:8000$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: CCTV-8, URL: http://120.55.49.231:4149/rtp/233.50.201.199:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: CCTV-8, URL: http://120.55.49.231:4149/rtp/233.50.201.19:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: CCTV-9, URL: http://122.9.151.210:2867/rtp/238.255.2.155:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3275 ms
Name: CCTV-9, URL: http://123.56.129.203:8252/rtp/225.1.8.9:8112$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: CCTV-9, URL: http://123.56.129.203:8252/rtp/225.1.8.109:8032$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: CCTV-9, URL: http://120.55.49.231:4149/rtp/233.50.201.121:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: CCTV-10, URL: http://122.9.151.210:2867/rtp/238.255.2.13:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3275 ms
Name: CCTV-10, URL: http://123.56.129.203:8252/rtp/225.1.8.10:8116$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: CCTV-10, URL: http://123.56.129.203:8252/rtp/225.1.8.110:8228$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: CCTV-10, URL: http://120.55.49.231:4149/rtp/233.50.201.122:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: CCTV-10, URL: http://120.55.49.231:4149/rtp/233.50.201.10:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: CCTV-11, URL: http://122.9.151.210:2867/rtp/238.255.2.14:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3275 ms
Name: CCTV-11, URL: http://123.56.129.203:8252/rtp/225.1.8.73:8120$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: CCTV-11, URL: http://123.56.129.203:8252/rtp/225.1.8.111:8040$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: CCTV-11, URL: http://120.55.49.231:4149/rtp/233.50.201.11:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: CCTV-12, URL: http://122.9.151.210:2867/rtp/238.255.2.15:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3275 ms
Name: CCTV-12, URL: http://123.56.129.203:8252/rtp/225.1.8.12:8124$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: CCTV-12, URL: http://123.56.129.203:8252/rtp/225.1.8.112:8232$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: CCTV-12, URL: http://120.55.49.231:4149/rtp/233.50.201.123:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: CCTV-12, URL: http://120.55.49.231:4149/rtp/233.50.201.12:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: CCTV-13, URL: http://122.9.151.210:2867/rtp/238.255.2.16:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3275 ms
Name: CCTV-13, URL: http://123.56.129.203:8252/rtp/225.1.8.168:8130$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: CCTV-13, URL: http://123.56.129.203:8252/rtp/225.1.1.10:8128$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
